timestamp,period_start,period_end,period_code,period_count,metric_name,metric_value,symbol
2015-12-31,2015-01-01,2015-12-31,A,1,EPS,31.31,TCS
2015-12-31,2015-01-01,2015-12-31,A,1,ROE,7.0,TCS
2015-12-31,2015-01-01,2015-12-31,A,1,adjusted equity shares in cr,18.77,TCS
2015-12-31,2015-01-01,2015-12-31,A,1,borrowings,0.0,TCS
2015-12-31,2015-01-01,2015-12-31,A,1,capital work in progress,2396.11,TCS
2015-12-31,2015-01-01,2015-12-31,A,1,cash & bank,94.03,TCS
2015-12-31,2015-01-01,2015-12-31,A,1,cash from financing activity,-716.28,TCS
2015-12-31,2015-01-01,2015-12-31,A,1,cash from investing activity,-904.05,TCS
2015-12-31,2015-01-01,2015-12-31,A,1,cash from operating activity,1456.62,TCS
2015-12-31,2015-01-01,2015-12-31,A,1,change in inventory,-0.05,TCS
2015-12-31,2015-01-01,2015-12-31,A,1,debtor_days,15.1,TCS
2015-12-31,2015-01-01,2015-12-31,A,1,depreciation,662.59,TCS
2015-12-31,2015-01-01,2015-12-31,A,1,dividend amount,319.52,TCS
2015-12-31,2015-01-01,2015-12-31,A,1,dividend_payout,54.38,TCS
2015-12-31,2015-01-01,2015-12-31,A,1,employee cost,772.16,TCS
2015-12-31,2015-01-01,2015-12-31,A,1,equity share capital,187.95,TCS
2015-12-31,2015-01-01,2015-12-31,A,1,expenses,10123.38,TCS
2015-12-31,2015-01-01,2015-12-31,A,1,face value,10.0,TCS
2015-12-31,2015-01-01,2015-12-31,A,1,interest,64.64,TCS
2015-12-31,2015-01-01,2015-12-31,A,1,inventory,1189.43,TCS
2015-12-31,2015-01-01,2015-12-31,A,1,inventory_turnover,9.84,TCS
2015-12-31,2015-01-01,2015-12-31,A,1,investments,1314.15,TCS
2015-12-31,2015-01-01,2015-12-31,A,1,net block,5330.82,TCS
2015-12-31,2015-01-01,2015-12-31,A,1,net cash flow,-163.71,TCS
2015-12-31,2015-01-01,2015-12-31,A,1,net profit,587.6,TCS
2015-12-31,2015-01-01,2015-12-31,A,1,new bonus shares,91952100.0,TCS
2015-12-31,2015-01-01,2015-12-31,A,1,no. of equity shares,188129416.0,TCS
2015-12-31,2015-01-01,2015-12-31,A,1,operating_profit,1582.9800000000014,TCS
2015-12-31,2015-01-01,2015-12-31,A,1,other assets,3758.88,TCS
2015-12-31,2015-01-01,2015-12-31,A,1,other expenses,737.58,TCS
2015-12-31,2015-01-01,2015-12-31,A,1,other income,-90.22,TCS
2015-12-31,2015-01-01,2015-12-31,A,1,other liabilities,4378.82,TCS
2015-12-31,2015-01-01,2015-12-31,A,1,other mfr. exp,3646.71,TCS
2015-12-31,2015-01-01,2015-12-31,A,1,power and fuel,2396.67,TCS
2015-12-31,2015-01-01,2015-12-31,A,1,price,1360.65,TCS
2015-12-31,2015-01-01,2015-12-31,A,1,price_to_earning,43.46,TCS
2015-12-31,2015-01-01,2015-12-31,A,1,profit before tax,765.53,TCS
2015-12-31,2015-01-01,2015-12-31,A,1,raw material cost,1848.07,TCS
2015-12-31,2015-01-01,2015-12-31,A,1,receivables,484.43,TCS
2015-12-31,2015-01-01,2015-12-31,A,1,reserves,8233.19,TCS
2015-12-31,2015-01-01,2015-12-31,A,1,sales,11706.36,TCS
2015-12-31,2015-01-01,2015-12-31,A,1,selling and admin,722.14,TCS
2015-12-31,2015-01-01,2015-12-31,A,1,tax,189.98,TCS
2015-12-31,2015-01-01,2015-12-31,A,1,total,12799.96,TCS
2015-12-31,2015-01-01,2015-12-31,A,1,total.1,12799.96,TCS
2015-12-31,2015-01-01,2015-12-31,A,1,working_capital,-619.9399999999996,TCS
2015-12-31,2015-01-01,2015-12-31,A,1,yearly OPM,13.52,TCS
