index,Sales,Raw Material Cost,Change in Inventory,Power and Fuel,Other Mfr. Exp,Employee Cost,Selling and admin,Other Expenses,Other Income,Depreciation,Interest,Profit before tax,Tax,Net profit,Dividend Amount,index,Equity Share Capital,Reserves,Borrowings,Other Liabilities,Total,Net Block,Capital Work in Progress,Investments,Other Assets,Total.1,Receivables,Inventory,Cash & Bank,No. of Equity Shares,New Bonus Shares,Face value,index,Sales,Expenses,Other Income,Depreciation,Interest,Profit before tax,Tax,Net profit,Operating Profit,index,Cash from Operating Activity,Cash from Investing Activity,Cash from Financing Activity,Net Cash Flow,PRICE:,DERIVED:,Adjusted Equity Shares in Cr
2015-12-31,11706.36,1848.07,-0.05,2396.67,3646.71,772.16,722.14,737.58,-90.22,662.59,64.64,765.53,189.98,587.6,319.52,2015-12-31,187.95,8233.19,0.0,4378.82,12799.96,5330.82,2396.11,1314.15,3758.88,12799.96,484.43,1189.43,94.03,188129416,91952100,10,2023-03-31,4790.91,4322.39,54.82,176.75,15.24,331.35,95.69,235.63,468.52,2015-12-31,1456.62,-904.05,-716.28,-163.71,1360.65,0.0,18.77
2016-12-31,10989.72,1589.78,-16.99,2159.91,854.94,756.72,3377.96,775.39,115.13,609.18,78.67,885.31,226.89,658.29,319.58,2016-12-31,187.99,8625.44,0.0,4580.51,13393.94,7567.77,260.98,117.18,5448.01,13393.94,533.18,1224.63,1977.16,188171323,0,10,2023-06-30,5201.11,4430.23,79.83,200.05,25.11,625.55,159.41,466.1,770.88,2016-12-31,1389.54,-533.33,-429.88,426.33,1331.05,0.0,18.78
2017-12-31,13285.13,1980.88,14.9,2716.94,855.14,821.36,4269.84,740.51,136.85,643.62,98.53,1310.06,385.55,924.41,488.77,2017-12-31,187.99,9167.86,0.0,5489.89,14845.74,7280.06,269.25,94.86,7201.57,14845.74,665.97,1404.78,2728.55,188171323,0,10,2023-09-30,4434.73,3885.45,211.78,212.8,28.86,519.4,131.52,387.85,549.28,2017-12-31,1554.45,-378.64,-425.78,750.03,1758.4,0.0,18.78
2018-12-31,14801.62,2457.43,124.98,3000.83,907.83,883.58,4878.26,750.55,152.98,603.22,87.77,1510.11,-10.51,1520.47,263.19,2018-12-31,187.99,10343.91,0.0,5524.05,16055.95,7088.17,397.78,104.1,8465.9,16055.95,867.37,1679.39,3096.98,188171323,0,10,2023-12-31,4914.36,4009.64,93.73,235.23,33.91,729.31,191.64,537.63,904.72,2018-12-31,1117.54,-363.53,-380.46,373.55,1508.1,0.0,18.78
2019-12-31,15657.55,2618.08,-100.81,3134.01,910.9,866.11,4893.0,721.86,332.45,606.44,86.27,2052.52,674.98,1377.41,263.19,2019-12-31,187.99,11355.78,0.0,5592.21,17135.98,7026.73,445.67,116.18,9547.4,17135.98,626.65,1141.93,4647.73,188171323,0,10,2024-03-31,5408.72,4571.94,349.99,236.97,66.7,883.1,-60.29,943.34,836.78,2019-12-31,2254.71,-321.23,-374.16,1559.32,1445.65,0.0,18.78
2020-12-31,13785.98,2370.1,-142.41,2574.65,728.95,841.21,4038.08,735.47,49.66,638.84,57.08,1708.85,278.59,1430.18,263.19,2020-12-31,187.99,12511.14,102.48,5398.62,18200.23,6694.44,548.11,129.27,10828.41,18200.23,451.41,901.27,6005.7,188171323,0,10,2024-06-30,5199.09,4520.01,72.66,234.54,33.14,484.06,124.32,359.7,679.08,2020-12-31,2219.19,-535.0,-327.36,1356.83,1617.65,0.0,18.78
2021-12-31,16151.67,3040.76,174.25,3364.77,836.17,836.16,4705.84,544.14,163.6,600.68,54.62,2506.38,643.28,1862.99,1090.34,2021-12-31,187.99,14120.84,125.58,6604.43,21038.84,6749.75,1216.39,149.55,12923.15,21038.84,462.26,1273.91,7522.4,188171323,0,10,2024-09-30,4613.52,4177.51,123.59,242.3,33.26,284.04,84.34,199.66,436.01,2021-12-31,2835.49,-987.74,-330.52,1517.23,2215.75,0.0,18.78
2023-03-31,22210.18,5646.91,193.19,5742.72,1032.75,1036.2,6208.85,811.01,196.27,841.32,77.28,1202.6,317.39,885.07,173.89,2023-03-31,187.99,13950.48,153.04,6252.26,20543.77,7511.89,1684.0,163.31,11184.57,20543.77,869.24,1624.2,414.71,188171323,0,10,2024-12-31,5927.38,4811.66,648.56,259.59,28.19,1476.5,384.71,1091.73,1115.72,2023-03-31,-1235.08,-4637.17,-1237.71,-7109.96,1667.2,0.0,18.78
2024-03-31,19958.92,6048.19,-34.37,4003.0,777.23,737.2,5138.95,158.32,735.33,885.05,154.58,2757.36,422.28,2334.92,140.99,2024-03-31,187.99,16140.23,354.85,6684.67,23367.74,10007.37,985.81,810.55,11564.01,23367.74,827.5,1868.55,1862.87,188171323,0,10,2025-03-31,6114.55,5284.34,330.48,264.88,13.63,882.18,131.14,751.03,830.21,2024-03-31,2995.11,-1204.64,-443.15,1347.32,2491.7,0.0,18.78
2025-03-31,21762.31,8099.1,-146.75,3505.41,747.76,717.75,5237.35,246.83,1174.95,1001.31,108.22,3126.78,724.51,2402.12,140.99,2025-03-31,187.99,18366.85,429.77,6428.0,25412.61,10829.46,2061.48,1508.92,11012.75,25412.61,1162.91,1925.42,1649.27,188171323,0,10,2025-06-30,6087.23,5309.22,69.97,254.58,30.45,562.95,187.53,375.38,778.01,2025-03-31,1711.48,-1262.48,-1002.26,-553.26,1942.65,0.0,18.78
