timestamp,sales_pnl,raw material cost_pnl,change in inventory_pnl,power and fuel_pnl,other mfr. exp_pnl,employee cost_pnl,selling and admin_pnl,other expenses_pnl,other income_pnl,depreciation_pnl,interest_pnl,profit before tax_pnl,tax_pnl,net profit_pnl,dividend amount_pnl,equity share capital_balance,reserves_balance,borrowings_balance,other liabilities_balance,total_balance,net block_balance,capital work in progress_balance,investments_balance,other assets_balance,total.1_balance,receivables_balance,inventory_balance,cash & bank_balance,no. of equity shares_balance,new bonus shares_balance,face value_balance,cash from operating activity_cashflow,cash from investing activity_cashflow,cash from financing activity_cashflow,net cash flow_cashflow,price,adjusted equity shares in cr_cashflow,expenses_pnl,operating_profit_pnl,dividend_payout_pnl,EPS,yearly OPM,ROE,price_to_earning,working_capital,debtor_days,inventory_turnover,period_code,timestamp,sales_quarters,expenses_quarters,other income_quarters,depreciation_quarters,interest_quarters,profit before tax_quarters,tax_quarters,net profit_quarters,operating profit_quarters,quarterly OPM,period_code
2016-03-31,108646,0.0,0.0,0.0,2571,55348,15589,4461,3084,1888,33,31840,7502,24270,8569.5,197,70875,245,16974,88291,11774,1670,22822,52025,88291,24073,16,6788,1970427941,0.0,1,19109,-5010,-9666,4433,1260.15,394.09,77969.0,30677.0,35.31,61.58,28.24,34.15,20.46,35051,80.87,6790.38,A,2023-03-31,59162,43388,1175,1286,272,15391,3955,11392,15774,26.66238463878841,Q
2017-03-31,117966,94.0,1.0,0.0,2715,61621,16392,4834,4221,1987,32,34513,8156,26289,9259.0,197,86017,289,15830,102333,11701,1541,41980,47111,102333,22617,21,4149,1970427941,0.0,1,25223,-16895,-11026,-2698,1215.9,394.09,85655.0,32311.0,35.22,66.71,27.39,30.49,18.23,31281,69.98,5617.43,A,2023-06-30,59381,44383,1397,1243,163,14989,3869,11074,14998,25.257237163402436,Q
2018-03-31,123104,86.0,0.0,0.0,2614,66396,16808,4684,3642,2014,52,34092,8212,25826,9550.0,191,84937,247,19751,105126,11973,1278,36008,55867,105126,24943,26,7161,1914287591,0.0,1,25067,3104,-26885,1286,1424.58,382.86,90588.0,32516.0,36.98,67.46,26.41,30.34,21.12,36116,73.96,4734.77,A,2023-09-30,59692,43946,1006,1263,159,15330,3950,11342,15746,26.378744220331036,Q
2019-03-31,146463,40.0,0.0,0.0,2230,78246,20387,6054,4311,2056,198,41563,10001,31472,11250.0,375,89071,62,24393,113901,12290,963,29330,71318,113901,27346,10,12848,3752384706,0.0,1,28593,1645,-27897,2341,2001.65,375.24,106957.0,39506.0,35.75,83.87,26.97,35.19,23.87,46925,68.15,14646.3,A,2023-12-31,60583,44195,-96,1233,230,14829,3732,11058,16388,27.050492712477098,Q
2020-03-31,156949,18.0,0.0,0.0,1887,85952,20527,6456,4592,3529,924,42248,9801,32340,27375.0,375,83751,8174,27827,120127,20928,906,26356,71937,120127,30532,5,9666,3752384706,0.0,1,32369,8968,-39915,1422,1826.1,375.24,114840.0,42109.0,84.65,86.18,26.83,38.44,21.19,44110,71.01,31389.8,A,2024-03-31,61237,44073,1157,1246,226,16849,4347,12434,17164,28.028806113950715,Q
2021-03-31,164177,14.0,0.0,0.0,1448,91814,18322,6033,1916,4065,637,43760,11198,32430,14060.0,370,86063,7795,35764,129992,21021,926,29373,78672,129992,30079,8,9329,3699051373,0.0,1,38802,-7956,-32634,-1788,3177.85,369.91,117631.0,46546.0,43.35,87.67,28.35,37.52,36.25,42908,66.87,20522.12,A,2024-06-30,62613,45951,962,1220,173,16231,4126,12040,16662,26.6110871544248,Q
2022-03-31,191754,29.0,0.0,0.0,1134,107554,23187,6793,4018,4604,784,51687,13238,38327,15738.0,366,88773,7818,43967,140924,21298,1205,30485,87936,140924,41810,20,18221,3659051373,0.0,1,39949,-738,-33581,5630,3739.95,365.91,138697.0,53057.0,41.06,104.74,27.67,43.0,35.71,43969,79.58,9587.7,A,2024-09-30,64259,47528,729,1266,162,16032,4077,11909,16731,26.03681974509407,Q
2023-03-31,225458,37.0,0.0,0.0,1844,127522,28913,7883,3449,5022,779,56907,14604,42147,42090.0,366,90058,7688,44747,142859,20515,1234,37163,83947,142859,49954,28,11032,3659051373,0.0,1,41965,548,-47878,-5365,3205.9,365.91,166199.0,59259.0,99.86,115.18,26.28,46.61,27.83,39200,80.87,8052.07,A,2024-12-31,63973,46939,1243,1377,234,16666,4222,12380,17034,26.626858205805576,Q
2024-03-31,240893,42.0,0.0,0.0,3660,140131,24151,8613,3464,4985,778,61997,15898,45908,26426.0,362,90127,8021,46962,145472,19604,1564,31762,92542,145472,53577,28,13286,3618087518,0.0,1,44338,6091,-48536,1893,3876.3,361.81,176597.0,64296.0,57.56,126.88,26.69,50.73,30.55,45580,81.18,8603.32,A,2025-03-31,64479,47499,1028,1379,227,16402,4109,12224,16980,26.334155306378822,Q
2025-03-31,255324,49.0,0.0,0.0,11599,145788,20729,9752,3962,5242,796,65331,16534,48553,45612.0,362,94394,9392,54501,158649,23053,1546,30964,103086,158649,59046,21,15463,3618087518,0.0,1,48908,-2144,-47438,-674,3606.15,361.81,187917.0,67407.0,93.94,134.19,26.4,51.24,26.87,48585,84.41,12158.29,A,2025-06-30,63437,46562,1660,1361,195,16979,4160,12760,16875,26.601194886265112,Q
